[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Metrics] Native BLE: Metrics ontvangen - Weight: 85.5 kg (raw: 2565), Fat: 24.292%, Water: 52.854%, Impedance: 814.6 Ohm
[Weight] Native BLE: Weight ontvangen: 85.5 kg
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
[Raw Bytes] Native BLE debug: UUID=0000fff1-0000-1000-8000-00805f9b34fb len=17 bytes=[12, 11, FF, 86, B0, 03, 00, 03, FF, 3C, 03, 08, 00, 0A, 05, 1F, D2]
